question,answer
Q: What is a maintenance window? Will my DB instance be available during maintenance events?,"
The Amazon RDS maintenance window is your opportunity to control when DB instance modifications, database engine version upgrades, and software patching occurs, in the event they are requested or required. If a maintenance event is scheduled for a given week, it will be initiated during the maintenance window you identify. 
Maintenance events that require Amazon RDS to take your DB instance offline are scale compute operations (which generally take only a few minutes from start-to-finish), database engine version upgrades, and required software patching. Required software patching is automatically scheduled only for patches that are security and durability related. Such patching occurs infrequently (typically once every few months) and should seldom require more than a fraction of your maintenance window. 
If you do not specify a preferred weekly maintenance window when creating your DB instance, a 30 minute default value is assigned. If you wish to modify when maintenance is performed on your behalf, you can do so by modifying your DB instance in the <a href=""https://console.aws.amazon.com/"">AWS Management Console</a>, the <a href=""http://docs.aws.amazon.com/AmazonRDS/latest/APIReference/API_ModifyDBInstance.html"">ModifyDBInstance API</a> or the <a href=""http://docs.aws.amazon.com/cli/latest/reference/rds/modify-db-instance.html"">modify-db-instance command</a>. Each of your DB instances can have different preferred maintenance windows, if you so choose.
Running your DB instance as a <a href=""#36"">Multi-AZ deployment</a> can further reduce the impact of a maintenance event. Please refer to the <a href=""http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_UpgradeDBInstance.Maintenance.html"">Amazon RDS User Guide</a> for more information on maintenance operations.
"
Q: What should I do if my queries seem to be running slowly?,"
For production databases we encourage you to enable <a href=""#enhanced-monitoring"">Enhanced Monitoring</a>, which provides access to over 50 CPU, memory, file system, and disk I/O metrics. You can enable these features on a per-instance basis and you can choose the granularity (all the way down to 1 second). High levels of CPU utilization can reduce query performance and in this case you may want to consider scaling your DB instance class. For more information on monitoring your DB instance, refer to the <a href=""http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_Monitoring.html"">Amazon RDS User Guide</a>. 
If you are using RDS for MySQL or MariaDB, you can access the slow query logs for your database to determine if there are slow-running SQL queries and, if so, the performance characteristics of each. You could set the ""slow_query_log"" DB Parameter and query the mysql.slow_log table to review the slow-running SQL queries. Please refer to the <a href=""http://docs.amazonwebservices.com/AmazonRDS/latest/UserGuide/Appendix.MySQL.CommonDBATasks.html"">Amazon RDS User Guide</a> to learn more. 
If you are using RDS for Oracle, you can use the Oracle trace file data to identify slow queries. For more information on accessing trace file data, please refer to <a href=""http://docs.amazonwebservices.com/AmazonRDS/latest/UserGuide/Appendix.Oracle.CommonDBATasks.html#Appendix.Oracle.CommonDBATasks.WorkingWithTracefiles"">Amazon RDS User Guide</a>. 
If you're using RDS for SQL Server, you can use the client side SQL Server traces to identify slow queries. For information on accessing server side trace file data, please refer to <a href=""http://docs.amazonwebservices.com/AmazonRDS/latest/UserGuide/Appendix.SQLServer.CommonDBATasks.html#Appendix.SQLServer.CommonDBATasks.WorkingWithTracefiles"">Amazon RDS User Guide</a>. 
"
Q: Which relational database engine versions does Amazon RDS support?,"
For the list of supported database engine versions, please refer to the documentation for each engine:
<ul>
<li><a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_MySQL.html"">Amazon RDS for MySQL</a></li>
<li><a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_MariaDB.html"">Amazon RDS for MariaDB</a></li>
<li><a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_PostgreSQL.html"">Amazon RDS for PostgreSQL</a> </li>
<li><a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_Oracle.html"">Amazon RDS for Oracle</a> </li>
<li><a href=""https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_SQLServer.html"">Amazon RDS for SQL Server</a> </li>
<li><a href=""http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Aurora.DatabaseEngineUpdates.html"">Amazon Aurora</a></li>
</ul>
"
Q: How does Amazon RDS distinguish between “major” and “minor” DB engine versions?,"
Refer to the FAQs page for each Amazon RDS database engine for specifics on version numbering.
"
Q: Does Amazon RDS provide guidelines for support of new DB engine versions?,"
Over time, Amazon RDS adds support for new major and minor database engine versions. The number of new versions supported will vary based on the frequency and content of releases and patches from the engine’s vendor or development organization, and the outcome of a thorough vetting of these releases and patches by our database engineering team. However, as a general guidance, we aim to support new engine versions within 5 months of their general availability.
"
Q: How do I specify which supported DB engine version I would like my DB instance to run?,"
You can specify any currently supported version (major and minor) when creating a new DB instance via the <b>Launch DB Instance"
Q: How do I control if and when the engine version of my DB instance is upgraded to new supported versions?,"
Amazon RDS strives to keep your database instance up to date by providing you newer versions of the supported database engines. After a new version of a database engine is released by the vendor or development organization, it is thoroughly tested by our database engineering team before it is made available in Amazon RDS. 
We recommend that you keep your database instance upgraded to the most current minor version as it will contain the latest security and functionality fixes. Unlike major version upgrades, minor version upgrades only include database changes that are backward-compatible with previous minor versions (of the same major version) of the database engine. 
If a new minor version does not contain fixes that would benefit RDS customers, we may choose not to make it available in RDS. Soon after a new minor version is available in RDS, we will set it to be the preferred minor version for new DB instances. 
To manually upgrade a database instance to a supported engine version, use the <b>Modify DB Instance"
Q: Can I test my DB instance with a new version before upgrading?,"
Yes. You can do so by creating a DB snapshot of your existing DB instance, restoring from the DB snapshot to create a new DB instance, and then initiating a version upgrade for the new DB instance. You can then experiment safely on the upgraded copy of your DB instance before deciding whether or not to upgrade your original DB instance.
For more information about restoring a DB snapshot, refer to the <a href=""http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_RestoreFromSnapshot.html"">Amazon RDS User Guide</a>.
"
Q: Does Amazon RDS provide guidelines for deprecating database engine versions that are currently supported?,"
<ul>
<li>We intend to support major version releases (e.g., MySQL 5.6, PostgreSQL 9.6) for at least 3 years after they are initially supported by Amazon RDS.</li>
<li>We intend to support minor versions (e.g., MySQL 5.6.37, PostgreSQL 9.6.1) for at least 1 year after they are initially supported by Amazon RDS.</li>
</ul>
Periodically, we will deprecate major or minor engine versions. For major versions, this is typically when the version has moved to extended support or is no longer receiving software fixes or security updates. For minor versions, this is when a minor version has significant bugs or security issues that have been resolved in a later minor version.
While we strive to meet these guidelines, in some cases we may deprecate specific major or minor versions sooner, such as when there are security issues. In the unlikely event that such cases occur, Amazon RDS will automatically upgrade your database engine to address the issue. Specific circumstances may dictate different timelines depending on the issue being addressed.
"
Q: What happens when an RDS DB engine version is deprecated?,"
When a <u>minor</u> version of a database engine is deprecated in Amazon RDS, we will provide a three (3) month period after the announcement before beginning automatic upgrades. At the end of the this period, all instances still running the deprecated minor version will be scheduled for automatic upgrade to the latest supported minor version during their scheduled maintenance windows.
When a <u>major</u> version of database engine is deprecated in Amazon RDS, we will provide a minimum six (6) month period after the announcement of a deprecation for you to initiate an upgrade to a supported major version. At the end of this period, an automatic upgrade to the next major version will be applied to any instances still running the deprecated version during their scheduled maintenance windows.
Once a major or minor database engine version is no longer supported in Amazon RDS, any DB instance restored from a DB snapshot created with the unsupported version will automatically and immediately be upgraded to a currently supported version.
"
Q: How will I be charged and billed for my use of Amazon RDS?,"

You pay only for what you use, and there are no minimum or setup fees. You are billed based on:
<ul>
<li>DB instance hours – Based on the class (e.g. db.t2.micro, db.m4.large) of the DB instance consumed. Partial DB instance hours consumed are billed as full hours.</li>
<li>Storage (per GB per month) – Storage capacity you have provisioned to your DB instance. If you scale your provisioned storage capacity within the month, your bill will be pro-rated.</li>
<li>I/O requests per month – Total number of storage I/O requests you have <i>(for Amazon RDS Magnetic Storage and Amazon Aurora only)</i> </li>
<li>Provisioned IOPS per month – Provisioned IOPS rate, regardless of IOPS consumed <i>(for Amazon RDS Provisioned IOPS (SSD) Storage only)</i></li>
<li>Backup Storage – Backup storage is the storage associated with your automated database backups and any customer-initiated database snapshots. Increasing your backup retention period or taking additional database snapshots increases the backup storage consumed by your database. </li>
<li>Data transfer – Internet data transfer in and out of your DB instance.</li>
</ul>
For Amazon RDS pricing information, please visit the <a href=""https://aws.amazon.com/rds/pricing"">pricing section on the Amazon RDS product page</a>.
"
Q: When does billing of my Amazon RDS DB instances begin and end?,"
Billing commences for a DB instance as soon as the DB instance is available. Billing continues until the DB instance terminates, which would occur upon deletion or in the event of instance failure.
"
Q: What defines billable Amazon RDS instance hours?,"
DB instance hours are billed for each hour your DB instance is running in an available state. If you no longer wish to be charged for your DB instance, you must stop or delete it to avoid being billed for additional instance hours. Partial DB instance hours consumed are billed as full hours.
"
Q: How will I be billed for a stopped DB instance?,"
While your database instance is stopped, you are charged for provisioned storage (including Provisioned IOPS) and backup storage (including manual snapshots and automated backups within your specified retention window), but not for DB instance hours.
"
Q: Why does my additional backup storage cost more than allocated DB instance storage?,"
The storage provisioned to your DB instance for your primary data is located within a single Availability Zone. When your database is backed up, the backup data (including transactions logs) is geo-redundantly replicated across multiple Availability Zones to provide even greater levels of data durability. The price for backup storage beyond your free allocation reflects this extra replication that occurs to maximize the durability of your critical backups.
"
Q: How will I be billed for Multi-AZ DB instance deployments?,"
If you specify that your DB instance should be a Multi-AZ deployment, you will be billed according to the Multi-AZ pricing posted on the <a href=""https://aws.amazon.com/rds/pricing"">Amazon RDS pricing page</a>. Multi-AZ billing is based on:
<ul>
<li>Multi-AZ DB instance hours – Based on the class (e.g. db.t2.micro, db.m4.large) of the DB instance consumed. As with standard deployments in a single Availability Zone, partial DB instance hours consumed are billed as full hours. If you convert your DB instance deployment between standard and Multi-AZ within a given hour, you will be charged both applicable rates for that hour.</li>
<li>Provisioned storage (for Multi-AZ DB instance) – If you convert your deployment between standard and Multi-AZ within a given hour, you will be charged the higher of the applicable storage rates for that hour.</li>
<li>I/O requests per month – Total number of storage I/O requests you have. Multi-AZ deployments consume a larger volume of I/O requests than standard DB instance deployments, depending on your database write/read ratio. Write I/O usage associated with database updates will double as Amazon RDS synchronously replicates your data to the standby DB instance. Read I/O usage will remain the same.</li>
<li>Backup Storage – Your backup storage usage will not change whether your DB instance is a standard or Multi-AZ deployment. Backups will simply be taken from your standby to avoid I/O suspension on the DB instance primary.</li>
<li>Data transfer – You are not charged for the data transfer incurred in replicating data between your primary and standby. Internet data transfer in and out of your DB instance is charged the same as with a standard deployment.</li>
</ul>
"
Q: Do your prices include taxes?,"
Except as otherwise noted, our prices are exclusive of applicable taxes and duties, including VAT and applicable sales tax. For customers with a Japanese billing address, use of AWS services is subject to Japanese Consumption Tax. <a adhocenable=""false"" href=""/c-tax-faqs/"">Learn more</a>.
"
Q: What does the AWS Free Tier for Amazon RDS offer? ,"
The <a href=""/rds/free/"">AWS Free Tier for Amazon RDS</a> offer provides free use of Single-AZ Micro DB instances running MySQL, MariaDB, PostgreSQL, Oracle (""Bring-Your-Own-License (BYOL)"" licensing model) and SQL Server Express Edition. The free usage tier is capped at 750 instance hours per month. Customers also receive 20 GB of General Purpose (SSD) database storage and 20 GB of backup storage for free per month. 
"
Q: For what time period will the AWS Free Tier for Amazon RDS be available to me?,"
New AWS accounts receive 12 months of AWS Free Tier access. Please see the <a adhocenable=""false"" href=""/free/faqs/"">AWS Free Tier FAQs</a> for more information.
"
Q: Can I run more than one DB instance under the AWS Free Usage Tier for Amazon RDS?,"
Yes. You can run more than one Single-AZ Micro DB instance simultaneously and be eligible for usage counted under the AWS Free Tier for Amazon RDS. However, any use exceeding 750 instance hours, across all Amazon RDS Single-AZ Micro DB instances, across all eligible database engines and regions, will be billed at standard Amazon RDS prices.
For example: if you run two Single-AZ Micro DB instances for 400 hours each in a single month, you will accumulate 800 instance hours of usage, of which 750 hours will be free. You will be billed for the remaining 50 hours at the standard Amazon RDS price.
"
"Q: Do I have access to 750 instance hours each of the MySQL, MariaDB, PostgreSQL, Oracle and SQL Server Micro DB instances under the AWS Free Tier?","
No. A customer with access to the AWS Free Tier can use up to 750 instance hours of Micro instances running either MySQL, PostgreSQL, Oracle or SQL Server Express Edition. Any use exceeding 750 instance hours, across all Amazon RDS Single-AZ Micro DB instances, across all eligible database engines and regions, will be billed at <a adhocenable=""false"" href=""/rds/pricing/"">standard Amazon RDS prices</a>.
"
Q: How am I billed when my instance-hour usage exceeds the Free Tier benefit?,"
You are billed at standard Amazon RDS prices for instance hours beyond what the Free Tier provides. See the <a adhocenable=""false"" href=""/rds/pricing/"">Amazon RDS pricing page</a> for details.
"
Q: What is a reserved instance (RI)?,"
Amazon RDS reserved instances give you the option to reserve a DB instance for a one or three year term and in turn receive a significant discount compared to the on-demand instance pricing for the DB instance. There are three RI payment options  -- No Upfront, Partial Upfront, All Upfront -- which enable you to balance the amount you pay upfront with your effective hourly price.  
"
Q: How are reserved instances different from on-demand DB instances?,"
Functionally, reserved instances and on-demand DB instances are exactly the same. The only difference is how your DB instance(s) are billed: With Reserved Instances, you purchase a one or three year reservation and in return receive a lower effective hourly usage rate (compared with on-demand DB instances) for the duration of the term. Unless you purchase reserved instances in a Region, all DB instances will be billed at on-demand hourly rates. 
"
Q: How do I purchase and create reserved instances?,"
You can purchase a reserved instance in the ""Reserved Instance"" section of the AWS Management Console for Amazon RDS. Alternatively, you can use the Amazon RDS API or AWS Command Line Interface to list the reservations available for purchase then purchase a DB instance reservation.
Once you have made a reserved purchase, using a reserved DB instance is no different than an On-Demand DB instance. Launch a DB instance using the same instance class, engine and region for which you made the reservation. As long as your reservation purchase is active, Amazon RDS will apply the reduced hourly rate for which you are eligible to the new DB instance.
"
Q: Do reserved instances include a capacity reservation?,"
Amazon RDS reserved instances are purchased for a Region rather than for a specific Availability Zone. As RIs are not specific to an Availability Zone, they are not capacity reservations. This means that even if capacity is limited in one Availability Zone, reservations can still be purchased in the Region and the discount will apply to matching usage in any Availability Zone within that Region. 
"
Q: How many reserved instances can I purchase?,"
You can purchase up to 40 reserved DB instances. If you wish to run more than 40 DB instances, please complete the <a href=""https://aws.amazon.com/contact-us/request-to-increase-the-amazon-rds-db-instance-limit/"">Amazon RDS DB Instance request form</a>.
"
Q: What if I have an existing DB instance that I’d like to cover with a reserved instance?,"
Simply purchase a DB instance reservation with the same DB instance class, DB engine, Multi-AZ option and License Model within the same Region as the DB instance you are currently running and would like to reserve. If the reservation purchase is successful, Amazon RDS will automatically apply your new hourly usage charge to your existing DB instance.
"
"Q: If I sign up for a reserved instance, when does the term begin? What happens to my DB instance when the term ends?","
Pricing changes associated with a reserved instance are activated once your request is received while the payment authorization is processed. You can follow the status of your reservation on the AWS Account Activity page or by using the <a href=""http://docs.aws.amazon.com/AmazonRDS/latest/APIReference/API_DescribeReservedDBInstances.html"">DescribeReservedDBInstances API</a> or <a href=""http://docs.aws.amazon.com/cli/latest/reference/rds/describe-reserved-db-instances.html"">describe-reserved-db-instances command</a>. If the one-time payment cannot be successfully authorized by the next billing period, the discounted price will not take effect.
When your reservation term expires, your reserved instance will revert to the appropriate On-Demand hourly usage rate for your DB instance class and Region.
"
Q: How do I control which DB instances are billed at the reserved instance rate?,"
The Amazon RDS operations for creating, modifying, and deleting DB instances do not distinguish between On-Demand and reserved instances. When computing your bill, our system will automatically apply your Reservation(s) such that all eligible DB instances are charged at the lower hourly reserved DB instance rate.
"
"Q: If I scale my DB instance class up or down, what happens to my reservation?","
Each reservation is associated with the following set of attributes: DB engine, DB instance class, Multi-AZ deployment option, license model and Region.
A reservation for a DB engine and license model that is eligible for size-flexibility (MySQL, MariaDB, PostgreSQL, Amazon Aurora or Oracle ""Bring Your Own License"") will automatically apply to a running DB instance of any size within the same instance family (e.g. M4, T2, or R3) for the same database engine and Region. In addition, the reservation will also apply to DB instances running in either Single-AZ or Multi-AZ deployment options.
For example, let’s say you purchased a db.m4.2xlarge MySQL reservation. If you decide to scale up the running DB instance to a db.m4.4xlarge, the discounted rate of this RI will cover 1/2 of the usage of the larger DB instance.
If you are running a DB engine or license model that is <u>not</u> eligible for size-flexibility (Microsoft SQL Server or Oracle ""License Included""), each reservation can only be applied to a DB instance with the same attributes for the duration of the term. If you decide to modify any of these attributes of your running DB instance before the end of the reservation term, your hourly usage rates for that DB instance will revert to on demand hourly rates.
For more details on about size flexibility, see the <a href=""http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithReservedDBInstances.html#USER_WorkingWithReservedDBInstances.SizeFlexible"">Amazon RDS User Guide</a>. 
"
Q: Can I move a reserved instance from one Region or Availability Zone to another?,"
Each reserved instance is associated with a specific Region, which is fixed for the lifetime of the reservation and cannot be changed. Each reservation can, however, be used in any of the available AZs within the associated Region.
"
Q: Are reserved instances available for Multi-AZ deployments?,"
Yes. When you call the <a href=""http://docs.aws.amazon.com/AmazonRDS/latest/APIReference/API_DescribeReservedDBInstancesOfferings.html"">DescribeReservedDBInstancesOfferings API</a> or <a href=""http://docs.aws.amazon.com/cli/latest/reference/rds/describe-reserved-db-instances-offerings.html"">describe-reserved-db-instances-offerings command</a>, simply look for the Multi-AZ options listed among the DB Instance configurations available for purchase. If you want to purchase a reservation for a DB instance with synchronous replication across multiple Availability Zones, specify one of these offerings in your PurchaseReservedDBInstancesOffering call.
"
Q: Are reserved instances available for read replicas?,"
A DB instance reservation can be applied to a read replica, provided the DB instance class and Region are the same. When computing your bill, our system will automatically apply your Reservation(s), such that all eligible DB instances are charged at the lower hourly reserved instance rate. 
"
Q: Can I cancel a reservation?,"
No, you cannot cancel your reserved DB instance and the one-time payment (if applicable) is not refundable. You will continue to pay for every hour during your Reserved DB instance term regardless of your usage.
"
Q: How do the payment options impact my bill?  ,"
When you purchase an RI under the All Upfront payment option, you pay for the entire term of the RI in one upfront payment. You can choose to pay nothing upfront by choosing the No Upfront option. The entire value of the No Upfront RI is spread across every hour in the term and you will be billed for every hour in the term, regardless of usage. The Partial Upfront payment option is a hybrid of the All Upfront and No Upfront options. You make a small upfront payment, and you are billed a low hourly rate for every hour in the term regardless of usage.
"
Q: How do I determine which initial DB instance class and storage capacity are appropriate for my needs?,"
In order to select your initial DB instance class and storage capacity, you will want to assess your application’s compute, memory and storage needs. For information the about the DB instance classes available, please refer to the <a href=""http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.DBInstanceClass.html"">Amazon RDS User Guide</a>.
"
Q: How do I scale the compute resources and/or storage capacity associated with my Amazon RDS Database Instance?,"
You can scale the compute resources and storage capacity allocated to your DB instance with the <a href=""https://console.aws.amazon.com/"">AWS Management Console</a> (selecting the desired DB instance and clicking the <b>Modify"
Q: What is the hardware configuration for Amazon RDS storage?,"
Amazon RDS uses EBS volumes for database and log storage. Depending on the size of storage requested, Amazon RDS automatically stripes across multiple EBS volumes to enhance IOPS performance. For MySQL and Oracle, for an existing DB instance, you may observe some I/O capacity improvement if you scale up your storage. You can scale the storage capacity allocated to your DB Instance using the <a href=""https://console.aws.amazon.com/"">AWS Management Console</a>, the <a href=""http://docs.aws.amazon.com/AmazonRDS/latest/APIReference/API_ModifyDBInstance.html"">ModifyDBInstance API</a>, or the <a href=""http://docs.aws.amazon.com/cli/latest/reference/rds/modify-db-instance.html"">modify-db-instance command</a>. 
For more information, see <a href=""http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_Storage.html"">Storage for Amazon RDS</a>. 
"
Q: Will my DB instance remain available during scaling?,"
The storage capacity allocated to your DB Instance can be increased while maintaining DB Instance availability. However, when you decide to scale the compute resources available to your DB instance up or down, your database will be temporarily unavailable while the DB instance class is modified. This period of unavailability typically lasts only a few minutes, and will occur during the maintenance window for your DB Instance, unless you specify that the modification should be applied immediately.
"
Q: How can I scale my DB instance beyond the largest DB instance class and maximum storage capacity?,"
Amazon RDS supports a variety of DB instance classes and storage allocations to meet different application needs. If your application requires more compute resources than the largest DB instance class or more storage than the maximum allocation, you can implement partitioning, thereby spreading your data across multiple DB instances.
"
Q: What is Amazon RDS General Purpose (SSD) storage?,"
Amazon RDS General Purpose (SSD) Storage is suitable for a broad range of database workloads that have moderate I/O requirements. With the baseline of 3 IOPS/GB and ability to burst up to 3,000 IOPS, this storage option provides predictable performance to meet the needs of most applications. 
"
Q: What is Amazon RDS Provisioned IOPS (SSD) storage?,"
Amazon RDS Provisioned IOPS (SSD) Storage is an SSD-backed storage option designed to deliver fast, predictable, and consistent I/O performance. With Amazon RDS Provisioned IOPS (SSD) Storage, you specify an IOPS rate when creating a DB instance, and Amazon RDS provisions that IOPS rate for the lifetime of the DB instance. Amazon RDS Provisioned IOPS (SSD) Storage is optimized for I/O-intensive, transactional (OLTP) database workloads. For more details, please see the <a href=""http://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/CHAP_Storage.html"">Amazon RDS User Guide</a>.
"
Q: What is Amazon RDS Magnetic storage?,"
Amazon RDS magnetic storage is useful for small database workloads where data is accessed less frequently. Magnetic storage is not recommended for production database instances. 
"
Q: How do I choose among the Amazon RDS storage types?,"
Choose the storage type most suited for your workload. 
<ul>
<li>High-performance OLTP workloads: Amazon RDS Provisioned IOPS (SSD) Storage</li>
<li>Database workloads with moderate I/O requirements: Amazon RDS General Purpose (SSD) Storage</li>
</ul>
"
Q: What are the minimum and maximum IOPS supported by Amazon RDS?,"
The IOPS supported by Amazon RDS varies by database engine. For more details, please see the <a href=""http://docs.amazonwebservices.com/AmazonRDS/latest/UserGuide/USER_PIOPS.html"">Amazon RDS User Guide</a>.
"
