question,answer
Q: When should I use Amazon Athena vs. Redshift Spectrum?,"
<a href=""/athena/"" target=""_blank"">Amazon Athena</a> is the simplest way to give any employee the ability to run ad-hoc queries on data in Amazon S3. Athena is serverless, so there is no infrastructure to setup or manage, and you can start analyzing your data immediately.
If you have frequently accessed data, that needs to be stored in a consistent, highly structured format, then you should use a data warehouse like Amazon Redshift. This gives you the flexibility to store your structured, frequently accessed data in Amazon Redshift, and use Redshift Spectrum to extend your Amazon Redshift queries out to the entire universe of data in your Amazon S3 data lake. This gives you the freedom to store your data where you want, in the format you want, and have it available for processing when you need. 
"
Q: Why should I use Amazon Redshift instead of running my own MPP data warehouse cluster on Amazon EC2?,"
Amazon Redshift automatically handles many of the time-consuming tasks associated with managing your own data warehouse including:
<ul>
<li><i>Setup:</i> With Amazon Redshift, you simply create a data warehouse cluster, define your schema, and begin loading and querying your data. Provisioning, configuration and patching are all managed for you.</li>
<li><i>Data Durability:</i> Amazon Redshift replicates your data within your data warehouse cluster and continuously backs up your data to Amazon S3, which is designed for eleven nines of durability. Amazon Redshift mirrors each drive's data to other nodes within your cluster. If a drive fails, your queries will continue with a slight latency increase while Redshift rebuilds your drive from replicas. In case of node failure(s), Amazon Redshift automatically provisions new node(s) and begins restoring data from other drives within the cluster or from Amazon S3. It prioritizes restoring your most frequently queried data so your most frequently executed queries will become performant quickly.</li>
<li><i>Scaling:</i> You can add or remove nodes from your Amazon Redshift data warehouse cluster with a single API call or via a few clicks in the <a href=""/console/"" target=""_blank"">AWS Management Console</a> as your capacity and performance needs change.</li>
<li><i>Automatic Updates and Patching:</i> Amazon Redshift automatically applies upgrades and patches your data warehouse so you can focus on your application and not on its administration.</li>
<li><i>Exabyte Scale Query Capability:</i> Redshift Spectrum enables you to run queries against exabytes of data in Amazon S3. There is no loading or ETL required. Even if you don’t store any of your data in Amazon Redshift, you can still use Redshift Spectrum to query datasets as large as an exabyte in Amazon S3. </li>
</ul>
"
Q: How will I be charged and billed for my use of Amazon Redshift?,"
You pay only for what you use, and there are no minimum or setup fees. Billing commences for a data warehouse cluster as soon as the data warehouse cluster is available. Billing continues until the data warehouse cluster terminates, which would occur upon deletion or in the event of instance failure. You are billed based on:
<ul>
<li><i>Compute node hours:</i> Compute node hours are the total number of hours you run across all your compute nodes for the billing period. Node usage hours are billed for each hour your data warehouse cluster is running in an available state. If you no longer wish to be charged for your data warehouse cluster, you must terminate it to avoid being billed for additional node hours. Partial node hours consumed are billed as full hours. You are billed for 1 unit per node per hour, so a 3-node data warehouse cluster running persistently for an entire month would incur 2,160 instance hours. You will not be charged for leader node hours; only compute nodes will incur charges.</li>
<li><i>Backup Storage:</i> Backup storage is the storage associated with your automated and manual snapshots for your data warehouse. Increasing your backup retention period or taking additional snapshots increases the backup storage consumed by your data warehouse. There is no additional charge for backup storage up to 100% of your provisioned storage for an active data warehouse cluster. For example, if you have an active Single Node XL data warehouse cluster with 2TB of local instance storage, we will provide up to 2TB-Month of backup storage at no additional charge. Backup storage beyond the provisioned storage size and backups stored after your cluster is terminated are billed at <a href=""/s3/pricing/"" target=""_blank"">standard Amazon S3 rates</a>.</li>
<li><i>Data transfer:</i> There is no data transfer charge for data transferred to or from Amazon Redshift and Amazon S3 within the same AWS Region. For all other data transfers into and out of Amazon Redshift, you will be billed at standard AWS data transfer rates.</li>
<li><i>Data scanned:</i> With Redshift Spectrum, you are charged for the amount of Amazon S3 data scanned to execute your query. There are no charges for Redshift Spectrum when you’re not running queries. If you store data in a columnar format, such as Parquet or RC, your charges will go down as Redshift Spectrum will only scan the columns needed by the query, rather than processing entire rows. Similarly, if you compress your data, using one of Redshift Spectrum’s supported formats, your costs will also go down. You pay the standard Amazon S3 rates for data storage and Amazon Redshift instance rates for the cluster used.</li>
</ul>
Except as otherwise noted, our prices are exclusive of applicable taxes and duties, including VAT and applicable sales tax. For customers with a Japanese billing address, use of AWS services is subject to Japanese Consumption Tax. Learn more.
For Amazon Redshift pricing information, please visit the <a href=""/redshift/pricing/"" target=""_blank"">Amazon Redshift pricing</a> page.
"
Q: How do I load data into my Amazon Redshift data warehouse?,"
You can load data into Amazon Redshift from a range of data sources including <a href=""/s3/"" target=""_blank"">Amazon S3</a>, <a href=""/dynamodb/"" target=""_blank"">Amazon DynamoDB</a>, <a href=""/emr/"" target=""_blank"">Amazon EMR</a>, <a href=""/glue/"" target=""_blank"">AWS Glue</a>, <a href=""/datapipeline/"" target=""_blank"">AWS Data Pipeline</a> and or any SSH-enabled host on Amazon EC2 or on-premises. Amazon Redshift attempts to load your data in parallel into each compute node to maximize the rate at which you can ingest data into your data warehouse cluster. For more details on loading data into Amazon Redshift please view our <a href=""http://docs.aws.amazon.com/redshift/latest/gsg/welcome.html"" target=""_blank"">Getting Started Guide</a>.
Yes, clients can connect to Amazon Redshift using ODBC or JDBC and issue 'insert' SQL commands to insert the data. Please note this is slower than using S3 or DynamoDB since those methods load data in parallel to each compute node while SQL insert statements load via the single leader node. 
"
"Q: How do I load data from my existing Amazon RDS, Amazon EMR, Amazon DynamoDB, and Amazon EC2 data sources to Amazon Redshift?","
You can use our <a href=""http://docs.aws.amazon.com/redshift/latest/dg/r_COPY.html"" target=""_blank"">COPY command</a> to load data in parallel directly to Amazon Redshift from Amazon EMR, Amazon DynamoDB, or any SSH-enabled host. Redshift Spectrum also enables you to load data from Amazon S3 into your cluster with a simple INSERT INTO command. This could enable you to load data from various formats such as Parquet and RC into your cluster. Note that if you use this approach, you will accrue Redshift Spectrum charges for the data scanned from Amazon S3.
In addition, many <a href=""/redshift/partners/"" target=""_blank"">ETL companies</a> have certified Amazon Redshift for use with their tools, and a number are offering <a href=""/redshift/partners/"" target=""_blank"">free trials</a> to help you get started loading your data. <a href=""/datapipeline/"" target=""_blank"">AWS Data Pipeline</a> provides a high performance, reliable, fault tolerant solution to load data from a variety of AWS data sources. You can use AWS Data Pipeline to specify the data source, desired data transformations, and then execute a pre-written import script to load your data into Amazon Redshift. Also, <a href=""/glue/"" target=""_blank"">AWS Glue</a> is a fully managed extract, transform, and load (ETL) service that makes it easy to prepare and load data for analytics. You can create and run an AWS Glue ETL job with a few clicks in the <a href=""/console/"" target=""_blank"">AWS Management Console</a>. 
"
Q: I have a lot of data for initial loading into Amazon Redshift. Transferring via the Internet would take a long time. How do I load this data?,"
You can use <a href=""/snowball/"" target=""_blank"">AWS Import/Export</a> to transfer the data to Amazon S3 using portable storage devices. In addition, you can use <a href=""/directconnect/"" target=""_blank"">AWS Direct Connect</a> to establish a private network connection between your network or datacenter and AWS. You can choose 1Gbit/sec or 10Gbit/sec connection ports to transfer your data. 
"
Q: How does Amazon Redshift keep my data secure?,"
Amazon Redshift encrypts and keeps your data secure in transit and at rest using industry-standard encryption techniques. To keep data secure in transit, Amazon Redshift supports SSL-enabled connections between your client application and your Redshift data warehouse cluster. To keep your data secure at rest, Amazon Redshift encrypts each block using hardware-accelerated AES-256 as it is written to disk. This takes place at a low level in the I/O subsystem, which encrypts everything written to disk, including intermediate query results. The blocks are backed up as is, which means that backups are encrypted as well. By default, Amazon Redshift takes care of key management but you can choose to manage your keys using your own <a href=""http://docs.aws.amazon.com/redshift/latest/mgmt/working-with-HSM.html"" target=""_blank"">hardware security modules (HSMs)</a> or manage your keys through <a href=""/kms/"" target=""_blank"">AWS Key Management Service</a>.
Redshift Spectrum supports Amazon S3’s Server Side Encryption (SSE) using your account’s default key managed used by the AWS Key Management Service (KMS). 
"
Q: Can I use Amazon Redshift in Amazon Virtual Private Cloud (Amazon VPC)?,"
Yes, you can use Amazon Redshift as part of your VPC configuration. With Amazon VPC, you can define a virtual network topology that closely resembles a traditional network that you might operate in your own datacenter. This gives you complete control over who can access your Amazon Redshift data warehouse cluster.
You can use Redshift Spectrum with an Amazon Redshift cluster that is part of your VPC. Note that Redshift Spectrum does not currently support <a href=""https://docs.aws.amazon.com/redshift/latest/mgmt/enhanced-vpc-routing.html"" target=""_blank"">Enhanced VPC Routing</a>. 
"
Q: Can I access my Amazon Redshift compute nodes directly?,"
No. Your Amazon Redshift compute nodes are in a private network space and can only be accessed from your data warehouse cluster's leader node. This provides an additional layer of security for your data. 
"
Q: What happens to my data warehouse cluster availability and data durability if a drive on one of my nodes fails?,"
Your Amazon Redshift data warehouse cluster will remain available in the event of a drive failure however you may see a slight decline in performance for certain queries. In the event of a drive failure, Amazon Redshift will transparently use a replica of the data on that drive which is stored on other drives within that node. In addition, Amazon Redshift will attempt to move your data to a healthy drive or will replace your node if it is unable to do so. Single node clusters do not support data replication. In the event of a drive failure you will need to restore the cluster from snapshot on S3. We recommend using at least two nodes for production. 
"
Q: What happens to my data warehouse cluster availability and data durability in the event of individual node failure?,"
Amazon Redshift will automatically detect and replace a failed node in your data warehouse cluster. The data warehouse cluster will be unavailable for queries and updates until a replacement node is provisioned and added to the DB. Amazon Redshift makes your replacement node available immediately and loads your most frequently accessed data from S3 first to allow you to resume querying your data as quickly as possible. Single node clusters do not support data replication. In the event of a drive failure you will need to restore the cluster from snapshot on S3. We recommend using at least two nodes for production. 
"
Q: What happens to my data warehouse cluster availability and data durability if my data warehouse cluster's Availability Zone (AZ) has an outage?,"
If your Amazon Redshift data warehouse cluster's Availability Zone becomes unavailable, you will not be able to use your cluster until power and network access to the AZ are restored. Your data warehouse cluster's data is preserved so you can start using your Amazon Redshift data warehouse as soon as the AZ becomes available again. In addition, you can also choose to restore any existing snapshots to a new AZ in the same Region. Amazon Redshift will restore your most frequently accessed data first so you can resume queries as quickly as possible. 
"
Q: Does Amazon Redshift support Multi-AZ Deployments?,"
Currently, Amazon Redshift only supports Single-AZ deployments. You can run data warehouse clusters in multiple AZ's by loading data into two Amazon Redshift data warehouse clusters in separate AZs from the same set of Amazon S3 input files. With Redshift Spectrum, you can spin up multiple clusters across AZs and access data in Amazon S3 without having to load it into your cluster. In addition, you can also restore a data warehouse cluster to a different AZ from your data warehouse cluster snapshots. 
"
Q: How does Amazon Redshift back up my data? How do I restore my cluster from a backup? ,"
Amazon Redshift replicates all your data within your data warehouse cluster when it is loaded and also continuously backs up your data to S3. Amazon Redshift always attempts to maintain at least three copies of your data (the original and replica on the compute nodes and a backup in Amazon S3). Redshift can also asynchronously replicate your snapshots to S3 in another region for disaster recovery.
By default, Amazon Redshift enables automated backups of your data warehouse cluster with a 1-day retention period. You can configure this to be as long as 35 days.
Free backup storage is limited to the total size of storage on the nodes in the data warehouse cluster and only applies to active data warehouse clusters. For example, if you have total data warehouse storage of 8TB, we will provide at most 8TB of backup storage at no additional charge. If you would like to extend your backup retention period beyond one day, you can do so using the <a href=""/console/"" target=""_blank"">AWS Management Console</a> or the <a href=""http://docs.aws.amazon.com/redshift/latest/APIReference/Welcome.html"" target=""_blank"">Amazon Redshift APIs</a>. For more information on automated snapshots, please refer to the Amazon Redshift Management Guide. Amazon Redshift only backs up data that has changed so most snapshots only use up a small amount of your free backup storage.
When you need to restore a backup, you have access to all the automated backups within your backup retention window. Once you choose a backup from which to restore, we will provision a new data warehouse cluster and restore your data to it.
"
Q: How do I manage the retention of my automated backups and snapshots?,"
You can use the <a href=""/console/"" target=""_blank"">AWS Management Console</a> or <a href=""https://docs.aws.amazon.com/redshift/latest/APIReference/API_ModifyCluster.html"" target=""_blank"">ModifyCluster</a> API to manage the period of time your automated backups are retained by modifying the RetentionPeriod parameter. If you desire to turn off automated backups altogether, you can do so by setting the retention period to 0 (not recommended). 
"
Q: What happens to my backups if I delete my data warehouse cluster?,"
When you delete a data warehouse cluster, you have the ability to specify whether a final snapshot is created upon deletion, which enables a restore of the deleted data warehouse cluster at a later date. All previously created manual snapshots of your data warehouse cluster will be retained and billed at <a href=""/s3/pricing/"" target=""_blank"">standard Amazon S3 rates</a>, unless you choose to delete them. 
"
Q: How do I scale the size and performance of my Amazon Redshift data warehouse cluster?,"
If you would like to increase query performance or respond to CPU, memory or I/O over-utilization, you can increase the number of nodes within your data warehouse cluster via the <a href=""/console/"" target=""_blank"">AWS Management Console</a> or the <a href=""https://docs.aws.amazon.com/redshift/latest/APIReference/API_ModifyCluster.html"" target=""_blank"">ModifyCluster</a> API. When you modify your data warehouse cluster, your requested changes will be applied immediately. Metrics for compute utilization, storage utilization, and read/write traffic to your Amazon Redshift data warehouse cluster are available free of charge via the <a href=""/console/"" target=""_blank"">AWS Management Console</a> or Amazon CloudWatch APIs. You can also add additional, user-defined metrics via <a href=""/cloudwatch/"" target=""_blank"">Amazon Cloudwatch</a> custom metric functionality.
With Redshift Spectrum, you can run multiple Amazon Redshift clusters accessing the same data in Amazon S3. You can use different clusters for different use cases. For example, you can use one cluster for standard reporting and another for data science queries. Your marketing team can use their own clusters different from your operations team. Depending on the type and number of nodes in your local cluster, and the number of files need to be processed for your query, Redshift Spectrum automatically distributes the execution of your query to several Redshift Spectrum workers out of a shared resource pool to read and process data from Amazon S3, and pulls results back into your Amazon Redshift cluster for any remaining processing. 
"
Q: Will my data warehouse cluster remain available during scaling?,"
The existing data warehouse cluster remains available for read operations while a new data warehouse cluster gets created during scaling operations. When the new data warehouse cluster is ready, your existing data warehouse cluster will be temporarily unavailable while the canonical name record of the existing data warehouse cluster is flipped to point to the new data warehouse cluster. This period of unavailability typically lasts only a few minutes, and will occur during the maintenance window for your data warehouse cluster, unless you specify that the modification should be applied immediately. Amazon Redshift moves data in parallel from the compute nodes in your existing data warehouse cluster to the compute nodes in your new cluster. This enables your operation to complete as quickly as possible. 
"
Q: Are Amazon Redshift and Redshift Spectrum compatible with my preferred business intelligence software package and ETL tools?,"
Amazon Redshift uses industry-standard SQL and is accessed using standard JDBC and ODBC drivers. You can download Amazon Redshift custom JDBC and ODBC drivers from the Connect Client tab of the <a href=""https://console.aws.amazon.com/redshift/"" target=""_blank"">Redshift Console</a>. We have validated integrations with popular <a href=""/redshift/partners/"" target=""_blank"">BI and ETL vendors</a>, a number of which are offering <a href=""/redshift/partners/"" target=""_blank"">free trials</a> to help you get started loading and analyzing your data. You can also go to the <a href=""/redshift/getting-started/"" target=""_blank"">AWS Marketplace</a> to deploy and configure solutions designed to work with Amazon Redshift in minutes.
Redshift Spectrum supports all Amazon Redshift client tools. The client tools can continue to connect to the Amazon Redshift cluster endpoint using ODBC or JDBC connections. No changes are required.
You use exactly the same query syntax and have the same query capabilities to access tables in Redshift Spectrum as you have for tables in the local storage of your Redshift cluster. External tables are referenced using the schema name defined in the CREATE EXTERNAL SCHEMA command where they were registered.
"
Q: What data formats and compression formats does Redshift Spectrum support?,"
Redshift Spectrum currently supports many open source data formats, including Avro, CSV, Grok, Ion, JSON, ORC, Parquet, RCFile, RegexSerDe, SequenceFile, TextFile, and TSV.
Redshift Spectrum currently supports Gzip and Snappy compression.
"
Q: What happens if a table in my local storage has the same name as an external table?,"
Just like with local tables, you can use the schema name to pick exactly which one you mean by using schema_name.table_name in your query. 
"
Q: I use a Hive Metastore to store metadata about my S3 data lake. Can I use Redshift Spectrum?,"
Yes. The CREATE EXTERNAL SCHEMA command supports Hive Metastores. We do not currently support DDL against the Hive Metastore. 
"
Q: How do I get a list of all external database tables created in my cluster?,"
You can query the system table SVV_EXTERNAL_TABLES to get that information. 
"
Q: How do I monitor the performance of my Amazon Redshift data warehouse cluster?,"
Metrics for compute utilization, storage utilization, and read/write traffic to your Amazon Redshift data warehouse cluster are available free of charge via the <a href=""/console/"" target=""_blank"">AWS Management Console</a> or <a href=""/cloudwatch/"" target=""_blank"">Amazon CloudWatch</a> APIs. You can also add additional, user-defined metrics via Amazon Cloudwatch’s custom metric functionality. In addition to CloudWatch metrics, Amazon Redshift also provides information on query and cluster performance via the AWS Management Console. This information enables you to see which users and queries are consuming the most system resources and diagnose performance issues. In addition, you can see the resource utilization on each of your compute nodes to ensure that you have data and queries that are well balanced across all nodes. 
"
