question,answer
Q: How does Amazon RDS on VMware help manage my on-premises databases?,"
A: Amazon RDS on VMware leverages the functionality and operational experience built into Amazon RDS to provision, monitor, and operate relational databases in your on-premises VMware vSphere environment. By downloading and installing the RDS Connector vApp, you can connect any vSphere 6.5+ cluster to the closest AWS region and take advantage of fully managed RDS databases in your private data center. The RDS Connector packages many of the technologies at the core of RDS, allowing the regional RDS control plane to coordinate database creation, OS and database engine patching, online backups, point-in-time restores, read replica creation and maintenance, and storage, CPU, and memory scaling of your databases through a dedicated VPN tunnel. All of this functionality is available through the Amazon RDS Console, APIs, and CLI, so you can create new databases with a few clicks, a quick script, or by integrating with existing automation, and spend the time you save building awesome things for your customers.
"
Q: What happens to Amazon RDS on VMware when I lose Internet connectivity?,"
A: All Amazon RDS on VMware features requiring outbound Internet / VPN access will recover automatically but will not work if their connectivity is unavailable. Note that, since RDS on VMware dual-publishes metrics to vROps and Amazon CloudWatch, your vROps console will always contain current database health / performance information regardless of outbound connectivity.
"
Q: What’s the largest database server I can create with Amazon RDS on VMware?,"
A: Amazon RDS on VMware supports a maximum database size of 16TB. 
"
"Q: Can Amazon RDS on VMware perform my backups and, if necessary, my restores?","
A: Yes. The Amazon RDS on VMware backup / restore system enables point-in-time restore for all supported engines and allows you to specify an automated backup retention period of up to 35 days for each database in your fleet. It is important to note that the RDS on VMware restore mechanism does not perform in-place replacement of existing databases. RDS on VMware creates a new database instance and restores your data to new volumes, allowing you to decide the best path forward in your specific situation. You can also save user snapshots that will be retained until you delete them.
RDS on VMware backups have two components: an incremental volume snapshot, and the database's write-ahead logs. Volume snapshots are incremental, stored as .vmdk files in the same cluster as the database, and are taken every day during the database's configurable backup window. The database’s write-ahead log files are copied from the database instance into a local RDS on VMware-managed object store whenever they are closed, or every 5 minutes, whichever is more frequent.
The restore process uses both snapshots and write-ahead logs. First, it selects the newest snapshot that is older than the requested point in time and clones it to a new volume. In parallel, it creates a new database instance with the appropriate configuration (engine, version, OS, VM, configuration items, plug-ins / extensions that match the snapshot), and mounts the new volume under it. Finally, the database is started and the relevant logs are played back to it, after which the new database is available for use. RDS on VMware backups are fully compatible with Amazon RDS backups in AWS. 
"
"Q: Can I keep my databases on-premises indefinitely, without being pressured to migrate them to AWS?","
A: Yes. Amazon RDS on VMware doesn't force you to migrate or to store any of your data in the AWS cloud. Although we believe that most IT workloads can be more efficiently served in the AWS cloud, we also believe that the best way to earn your trust is to help you build and grow your business wherever your applications live. We hope that you'll benefit from Amazon RDS on VMware whether you want to migrate to AWS tomorrow, next year, or have no cloud migration plans. 
"
Q: Does Amazon RDS on VMware patch my databases?,"
A: Yes. Amazon RDS on VMware takes care of both OS and database engine patching with minimal downtime. Patching happens during a configurable 30-minute maintenance window or when you request an immediate patching action. When a patch becomes available, you may opt individual databases in for immediate, next-window, or specified-date patching. You can also configure individual databases to automatically receive minor version upgrades as they become available. 
"
Q: Does Amazon RDS on VMware provide availability protection for my databases?,"
A: Yes, every Amazon RDS on VMware instance benefits from health monitoring and availability management. When an unhealthy database instance is detected, RDS on VMware will automatically replace it using the same storage volume and restart the database engine so that it can perform recovery. 
"
Q: Will AWS and VMware support my managed environment and databases?,"
A: Yes. You will be able to contact VMware's Global Support Services (GSS) team or AWS Support for assistance with your vSphere environment and Amazon RDS on VMware databases. If your issue is specific to RDS on VMware, Amazon RDS, or one of the services involved in delivering the hybrid cloud features, we recommend that you open a case directly with AWS Support. Otherwise, we recommend starting with the VMware GSS. In either case, the team you contact will escalate your issue to the other on your behalf if necessary.
"
Q: Will AWS and VMware proactively monitor my Amazon RDS on VMware environment?,"
A: Yes. Amazon RDS on VMware environments and infrastructure will be continuously monitored, and AWS and VMware will proactively engage if we detect issues. Most issues will be resolved without requiring your involvement. In rare circumstances, an AWS engineer may need access to your database server to diagnose or fix an issue. In no cases will AWS or VMware access or manipulate your data without your express consent. All access to your database servers will be logged to a user-configurable audit server (by default, CloudWatch Logs) so you have visibility and auditability for any accesses.
"
Q: Will anyone get alerted if something in my Amazon RDS on VMware environment is broken? ,"
A: Yes. Amazon RDS on VMware’s automation will resolve most issues without human interaction. When it encounters a situation that cannot be addressed automatically, it will alert AWS, VMware, and/or you, depending on the situation and your alerting configuration. 
"
